stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8240DB001879,1879,Blakestown Cross,,53.3911728451094,-6.40957814300456,,,,
8240DB001880,1880,Mount View Road,,53.3912254456454,-6.40745618116921,,,,
8240DB001883,1883,Scoil Oilibheir,,53.385744889481,-6.39820466073977,,,,
8240DB001887,1887,Castlefield Woods,,53.3829965720351,-6.41045415416237,,,,
8240DB001890,1890,Clonsilla Station,,53.3835365679955,-6.42202427927394,,,,
8240DB003679,3679,Fingal Co Co,,53.4590816825632,-6.22013572290444,,,,
8240DB003686,3686,Rathbeale Crescent,,53.4619183810104,-6.23018312491813,,,,
8240DB003864,3864,Abbylea Close,,53.4639991345891,-6.23413306202705,,,,
8240DB004323,4323,Whitestown Grove,,53.3963288599543,-6.39391251276652,,,,
8240DB004362,4362,Millennium Park,,53.3931135415888,-6.39876997645993,,,,
8220DB000092,92,Ballymun Library,,53.3898373340512,-6.26467424036105,,,,
8220DB000094,94,Civic Centre,,53.3960347624115,-6.26437695995448,,,,
8220DB000102,102,Balbutcher Lane,,53.397773070166,-6.26771985697013,,,,
8220DB001025,1025,Trinity Hall,,53.3115998654594,-6.26247682304637,,,,
8220DB001062,1062,South Hill,,53.3082596341802,-6.2553192658689,,,,
8220DB001074,1074,Harcourt Luas,,53.334001,-6.261742,,,,
8220DB001119,1119,Parkmore Drive,,53.3109356902408,-6.29241376344752,,,,
8220DB001706,1706,Blackhorse Avenue,,53.3600698255996,-6.30729237527244,,,,
8220DB001707,1707,Dunard Walk,,53.3584282663489,-6.30245957267131,,,,
8220DB001708,1708,Mc Kee Park,,53.35735,-6.29863,,,,
8220DB001712,1712,Aughrim Court,,53.3533339170032,-6.28624259176384,,,,
8220DB001714,1714,Stoneybatter,,53.3506378069371,-6.28188938800201,,,,
8220DB001734,1734,Castle Avenue,,53.3603909611114,-6.2110149084861,,,,
8220DB001737,1737,Alfie Byrne Road,,53.3628580243648,-6.21971672090975,,,,
8220DB001738,1738,Clontarf Road Pitches,,53.3634508756356,-6.22391433414591,,,,
8220DB001742,1742,St Lawrence Road,,53.3621257933153,-6.21642658486162,,,,
8220DB001773,1773,Blackheath Park,,53.3668109134426,-6.20339753583734,,,,
8220DB002499,2499,Custom House Quay,,53.348128,-6.247128,,,,
8220DB002653,2653,Ballyfermot Crescent,,53.3402347651824,-6.34844568463056,,,,
8220DB002654,2654,Ballyfermot Road,,53.341298730205,-6.34868990718238,,,,
8220DB002656,2656,Ballyfermot,,53.3426234944756,-6.35871610719475,,,,
8220DB002668,2668,Ballyfermot Community Centre,,53.3429828349129,-6.3632829723227,,,,
8220DB002688,2688,Cleggan Park,,53.3434635062577,-6.36819070772058,,,,
8220DB005006,5006,Le Fanu Road,,53.3462028544979,-6.35169957710728,,,,
8220DB005174,5174,Dundaniel Road,,53.3957088554205,-6.2250974742601,,,,
8220DB006068,6068,Ratoath Drive,,53.3902823798273,-6.31709957382237,,,,
8220DB007948,7948,Bankside Cottages,,53.3102693590525,-6.24710333082368,,,,
8220DB008246,8246,Griffith Avenue,,53.379305,-6.265414,,,,
8220DB008297,8297,Navan Road,,53.36454,-6.309,,,,
8220DB008300,8300,Glasnevin Woods,,53.376172,-6.292262,,,,
8220DB008303,8303,St Clare's,,53.37931,-6.27133,,,,
8220DB008304,8304,Drumcondra Road,,53.375672,-6.249473,,,,
8220DB008305,8305,Grace Park Road,,53.373883,-6.242673,,,,
8220DB008308,8308,St Clare's,,53.379157,-6.271342,,,,
8230DB002205,2205,Cherry Orchard Hosp,,53.344590643431,-6.37702396338742,,,,
8230DB002206,2206,Cherry Orchard Hosp,,53.3441867930205,-6.37574767124231,,,,
8230DB002207,2207,Kennelsfort Road,,53.3467566214721,-6.37966028357374,,,,
8230DB002208,2208,Kennelsfort Green,,53.3499128506157,-6.37778311866055,,,,
8230DB002210,2210,Woodfarm,,53.3523918339047,-6.37831989512395,,,,
8230DB002211,2211,Palmerstown Avenue,,53.3539587776176,-6.37457991504245,,,,
8230DB002212,2212,Palmerstown Village,,53.3559674221579,-6.37094299405762,,,,
8230DB002956,2956,Glenmore Park,,53.2781201946513,-6.28616435406072,,,,
8230DB002968,2968,Three Rock Rovers,,53.2803293260032,-6.273568644566,,,,
8230DB003397,3397,Orchard Grove,,53.2996364609557,-6.49662433850952,,,,
8230DB003425,3425,Newlands Cross,,53.3139017328605,-6.39199620954266,,,,
8230DB003427,3427,Newlands Cross,,53.3125160593383,-6.39188320972662,,,,
8230DB003437,3437,Fitzmaurice Road,,53.2834257325272,-6.4588750105462,,,,
8230DB003888,3888,Old Cornmill Road,,53.3551537748943,-6.46271792558206,,,,
8230DB007440,7440,An Post Edmonstown,,53.2761302274519,-6.29720552137443,,,,
8240DB000223,223,Shanliss Drive,,53.3910623454472,-6.25191920389028,,,,
8240DB000230,230,Shanowen Road,,53.3898880230163,-6.24906550786893,,,,
8240DB000231,231,Shanvarna Road Est,,53.3892400769847,-6.24594976380672,,,,
8240DB000232,232,Shantalla Avenue,,53.3879844259705,-6.2369805787303,,,,
8240DB001828,1828,Lady's Well Road,,53.4070254952423,-6.39800683658979,,,,
